,Condition,AMW019,JBL002,JBL4971,CSM257,CSM258,CSM275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFFL -STAR -CRISPR,0.5,24,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFFL +STAR -CRISPR,0.5,8,16,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFFL -STAR +CRISPR,0.5,24,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFFL +STAR +CRISPR,0.5,8,16,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
