,Condition,AMW019,JBL002,AMW4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR OFF,0.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 12nM,0.5,20.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 16nM,0.5,16.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 20nM,0.5,8.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM
0,0.000995553,0.000829627,0.000663702,0.002074068,0.002074068,-0.000746665,-0.000497776,-0.00091259,-0.000497776,-0.000165925,0.00091259,8.29627E-05,8.29627E-05,-0.000746665,-0.00091259,0,-0.000414814,-0.00091259,0.000414814,-0.000165925,0.00091259,-0.000746665,-0.000414814,-8.29627E-05,-0.001078515,0,-0.000165925,0.000248888,0.000414814,0,-0.000829627,-0.000829627,-8.29627E-05,-0.000746665,-0.00091259,8.29627E-05
5,0.00091259,0.000995553,0.000663702,0.001659255,0.002322956,-0.000165925,-0.000248888,-0.000248888,0.000248888,0.000248888,0.000414814,0.000497776,0.000248888,0,-0.000331851,-0.000248888,-0.000497776,-8.29627E-05,0.000580739,0.000414814,0.001493329,-8.29627E-05,0.000414814,0.000497776,-0.000746665,0,0,0.000414814,0.000829627,0.000497776,-0.000331851,-0.000331851,-8.29627E-05,-0.000663702,-0.000414814,0.000248888
10,0.000746665,0.000497776,0.000331851,0.000663702,0.000829627,-0.000829627,-0.000580739,-0.000414814,-0.000746665,0.000331851,0.000663702,0.000829627,-8.29627E-05,-0.000580739,-0.000497776,-0.000497776,-0.000829627,-0.000580739,0.000746665,-8.29627E-05,0.001327404,-0.000663702,-0.000165925,-0.000165925,-0.001493329,0.000165925,-0.000414814,0.000165925,0.000995553,0.000165925,-0.000663702,-0.000746665,-0.000497776,-0.001078515,-0.000331851,-0.000165925
15,0.000165925,8.29627E-05,0.000165925,0.001244441,0.001244441,-0.000165925,-0.001161478,-0.000995553,-0.000165925,-0.000248888,8.29627E-05,-8.29627E-05,0.000165925,0,-0.000248888,-0.000580739,-0.000497776,-0.001327404,-0.000165925,-0.000331851,0.000746665,0.000248888,0.000580739,0.000746665,-0.000746665,-8.29627E-05,-0.000414814,-0.000165925,0.000663702,0.000248888,-0.000663702,-0.000331851,8.29627E-05,-0.001078515,-0.000580739,-0.000663702
20,0.000580739,0.000580739,0.000165925,0.001078515,0.001659255,-0.000414814,-0.000165925,-0.000829627,-0.000165925,0.000248888,0.000663702,0.000414814,8.29627E-05,-0.000331851,-8.29627E-05,-8.29627E-05,-0.000414814,-0.000663702,0.000331851,-0.000248888,0.001244441,-0.000248888,0.000414814,0.000580739,-0.000746665,0.000165925,8.29627E-05,0.000663702,0.000663702,0.000165925,0,-8.29627E-05,-8.29627E-05,-0.000414814,-0.000414814,0
25,0.000497776,0.000165925,0.000248888,0.001244441,0.001742217,-0.000580739,-0.000165925,-0.000331851,-0.000414814,0,0.001161478,0.000165925,8.29627E-05,-0.000248888,8.29627E-05,-8.29627E-05,-0.000331851,-0.000829627,0.00091259,0.000248888,0.001576292,0.000663702,0.001078515,0.000663702,-0.000746665,0.000414814,0.000497776,0.001327404,0.001244441,0.000497776,0.000414814,0.000331851,0.000995553,0.000331851,0.000248888,0.001161478
30,0.000497776,0.000580739,0.000829627,0.001327404,0.001908143,0,-0.000414814,-0.000497776,0.000165925,0.000663702,0.001327404,0.000580739,0.000580739,0.000331851,0.000414814,0.000165925,0.000248888,8.29627E-05,0.001244441,0.000497776,0.002239994,0.001410366,0.001659255,0.001742217,8.29627E-05,0.001244441,0.000995553,0.002157031,0.002820733,0.001991105,0.001410366,0.001410366,0.002157031,0.001161478,0.001078515,0.002322956
35,0.000580739,0.000331851,0.000414814,0.001327404,0.001493329,0.000414814,-0.000580739,-8.29627E-05,-0.000331851,0.000580739,0.001410366,0.001078515,0.000995553,0.00091259,0.000746665,0.000331851,0.000497776,-8.29627E-05,0.001991105,0.00091259,0.003235546,0.002322956,0.003484435,0.002986658,0.000746665,0.00182518,0.001742217,0.002654807,0.004148136,0.002903695,0.003235546,0.002820733,0.003484435,0.002654807,0.002239994,0.003318509
40,0.000331851,0.000829627,0.000414814,0.000829627,0.001493329,-8.29627E-05,-0.000995553,-0.001161478,-0.000829627,0.000995553,0.001742217,0.001078515,0.00182518,0.00182518,0.001410366,0.000248888,0.00091259,0,0.002405919,0.00182518,0.004397025,0.003567397,0.004397025,0.003318509,0.001078515,0.002239994,0.001991105,0.004314062,0.006139242,0.003484435,0.004728875,0.004314062,0.004977764,0.00365036,0.002903695,0.004977764
